"CutOff","Call Costs","Mail Costs","Call Revenues","Mail Revenues","ROI","Remaining budget"
0,-15063,-2259.45,-63775.125,-23136.075,-86911.2,-12322.45
0.1,-12536,-1880.4,22906.5,56412.1,79318.6,-9416.4
0.2,-9181,-1377.15,106916.25,131113.1,238029.35,-5558.15
0.3,-6419,-962.85,148327.5,165005.65,313333.15,-2381.85
0.4,-4339,-650.85,154842.125,165986.775,320828.9,10.15
0.5,-2886,-432.9,150108.625,157436.225,307544.85,1681.1
0.6,-1676,-251.4,133571.5,137786.1,271357.6,3072.6
0.7,-762,-114.3,115217.5,117111.2,232328.7,4123.7
0.8,-263,-39.45,100988.25,101636.8,202625.05,4697.55
0.9,-2,-0.3,92122.75,92127.45,184250.2,4997.7
1,0,0,92010,92010,184020,5000
